country,date,gdp,stock_index,name,region,income level,gdp_q_growth,stock_index_q_growth,gdp_y_growth,stock_index_y_growth,gdp_100,stock_index_100
AR,2004-01-01,118842.8,1101.5,Argentina,Latin America & Caribbean ,Upper middle income,,,,,100.0,100.0
AR,2004-04-01,117587.7,1211.300048828125,Argentina,Latin America & Caribbean ,Upper middle income,-0.010561010006496008,0.09968229580401733,,,98.94945616566687,110.48198564075324
AR,2004-07-01,123517.5,951.2000122070312,Argentina,Latin America & Caribbean ,Upper middle income,0.0504287438226958,-0.21472799978232326,,,104.0673119226977,89.13254058588801
AR,2004-10-01,125167.3,1160.0999755859375,Argentina,Latin America & Caribbean ,Upper middle income,0.013356811787803347,0.2196172841652977,,,105.46664392454433,111.02348618410318
AR,2005-01-01,128814.4,1369.5,Argentina,Latin America & Caribbean ,Upper middle income,0.02913780196584881,0.18050170573299074,0.08390579824776934,0.24330458465728544,108.58491933709034,132.985948452611
AR,2005-04-01,131617.8,1424.300048828125,Argentina,Latin America & Caribbean ,Upper middle income,0.021763094809275962,0.04001463952400508,0.11931605091348829,0.1758441273126896,110.97396545671137,138.41523428398386
AR,2005-07-01,132589.1,1361.300048828125,Argentina,Latin America & Caribbean ,Upper middle income,0.007379700921911869,-0.04423225292439936,0.07344384398971804,0.4311396460872148,111.79594939929717,132.42624626774787
AR,2005-10-01,135034.5,1731.300048828125,Argentina,Latin America & Caribbean ,Upper middle income,0.018443446708666045,0.27179900589771844,0.07883209112923262,0.49237142079387475,113.8769837673417,173.78603600457973
AR,2006-01-01,138580.2,1555.699951171875,Argentina,Latin America & Caribbean ,Upper middle income,0.02625773413461019,-0.10142672714363377,0.07581295258915177,0.13596199428395406,116.90673850360496,157.02391793209856
AR,2006-04-01,140366.8,1798.699951171875,Argentina,Latin America & Caribbean ,Upper middle income,0.012892173629421633,0.15619978635144482,0.06647277191990741,0.2628658916720503,118.4236777865735,183.57034097620394
AR,2006-07-01,144284.4,1725.800048828125,Argentina,Latin America & Caribbean ,Upper middle income,0.02790973364071858,-0.0405292179478044,0.08820709998031506,0.26775875040464436,121.7754064503064,176.27913018226445
AR,2006-10-01,147318.0,1651.0999755859375,Argentina,Latin America & Caribbean ,Upper middle income,0.021025142011194653,-0.0432843151748149,0.09096564211368197,-0.046323612880663334,124.3628571072156,168.811784057198
